acronym_,expansion,id,text
FEC,federal election candidate,TR-25673,"table[ht ] tabularllll & Facebook & Google & Twitter Ads & All Candidates , & Federal & Federal Included & Issue ads & candidate & candidate , & & related & Issue ads Sponsor & Name & Name , & Name , Info & & FEC / EIN & billing info Ad Contents & Ranges & Ranges & Exact Viewed & Gender , age , & N / A & Gender , age , Audience & geolocation & & geolocation Targeting & N / A & Age , gender , & Age , gender , Info & & geolocation & geolocation & & keywords & Data & Portal , & Portal , & Portal Availability & API ( w / NDA ) & Database & API tabular Transparency Implementations tab : transparency_implementationstableWhat is an ad ?"
FPS,frame per second,TR-25874,"table*[!t]tabularlcccccAlgorithm & tabular[c]@c@YOLOv3 ( 320x320)tabular & tabular[c]@c@YOLOv3 ( 416x416)tabular & tabular[c]@c@YOLOv3 ( 608x608)tabular & tabular[c]@c@Faster R - CNN ( Inception v2)tabular & tabular[c]@c@Faster R - CNN ( ResNet 50)tabular FP & 40 & 66 & 51 & 164 & 137 TP & 159 & 171 & 165 & 228 & 195 FN & 225 & 213 & 219 & 156 & 189 Precision & 0.8058 & 0.7288 & 0.7735 & 0.6091 & 0.6022 Recall & 0.4349 & 0.4577 & 0.4557 & 0.5929 & 0.5042 Quality & 0.3905 & 0.3849 & 0.3923 & 0.4172 & 0.3744 F1score & 0.5541 & 0.5546 & 0.5546 & 0.5887 & 0.5446 mAP & 0.3999 & 0.4152 & 0.4214 & 0.5162 & 0.4317 mIoU & 0.6352 & 0.5988 & 0.6192 & 0.5710 & 0.5850 FPS & 91.28 & 65.31 & 43.84 & 3.35 & 3.8 tabulartab : Evaluation metrics of FASTER R - CNN and YOLOV3 over classesEvaluation metrics of FASTER R - CNN and YOLOV3 over classestable*FN , TP and FPFigure 3 shows that when we used the YOLOv3 , the number of false negatives is much higher than the number of false positives on over classes , and also much higher than the number of true positives , which indicates that most instances go undetected ."
CRF,conditional random field,TR-25912,a ) FCN-32 ; ( b ) FCN-16s ; ( c ) ResNet - DUC ; ( d ) E - Net ; ( e ) SegNet ; ( f ) U - Net ; ( g ) FCN-8s ; ( h ) CWGAN - GP ; ( i ) FC - DenseNet ; ( j ) DSFE - CRF ; ( k ) DSFE - GCN ; ( l ) DSFE - GraphSAGE ; ( m ) DSFE - GGNN ; ( n ) DSFE - GGCN ; ( o ) Ground truth ; ( p ) Optical image .
RG,reber grammar,TR-25942,"We repeated the extraction process on 5000 different patterns 10 times , and we obtained the following results ( average values ) : For RG context : for k 50 , average value of silhouette coefficient is 0.80 and the percentage of accepted sequences is between [ 70 ; 100 ] for k 100 , average value of silhouette coefficient is 0.875 and the percentage of accepted sequences is between [ 85 ; 100 ] For ERG context : for k 50 , average value of silhouette coefficient is 0.750 and the percentage of accepted sequences is between [ 85;100 ] for k 100 , average value of silhouette coefficient is 0.825 and the percentage of accepted sequences is between [ 87;100 ] These results show that it is possible , using the hidden representation of the hidden layer of a RNN - LSTM , to extract a knowledge representation of the hidden rules that is close to the original grammar by 80 in the worst case ."
MDC,metering data collector,TR-26086,"Depending on the choice on the encryption approach in the MDC , as discussed above , there are two choices : ( i ) if the MDC encryption key was negotiated with the SCBR , SCBR would decrypt the data and this data would be disseminated unencrypted ; ( ii ) if the encryption key is negotiated with the trusted parties , the sensitive information ( e.g. , the measurements is kept encrypted even within the SCBR enclave ) , this could be useful for connecting systems that store information , even if the systems themselves can not read it ."
PR,preference ratio,TR-26161,"figure[h ] plots_v3/cs_pr_1.png Output preference ratio for Crime and Sci - Fi Output preference ratio for the Crime and Sci - Fi movie , this is for the whole population and subgroup populations in unbalanced dataset fig : cs_prfigurefigure[h ] plots_v3/cs_bd_1.png Bias disparity for Crime and Sci - Fi Bias disparity for the Crime and Sci - Fi movie , this is for the whole population and subgroup populations in unbalanced dataset fig : cs_bdfigureStep 3 : Users with Extreme Preferences We had 37 users with PR value of zero on Crime movies , meaning that they only watched Sci - Fi movies ."
CN,common neighbours,TR-26257,"List of SymbolsList of abbreviationslongtablecc Acronym & Descriptions ADN & Activity driven network modelling AV & Acquaintance vaccination APV & Absolute percentage variation CIP & co - location interaction parameters CN & Common neighbours DST network & Dense SPST network DDT network & Dense SPDT network DDT1 & Vaccinating neighbours in DDT network with direct linksDDT2 & Vaccinating neighbours in DDT network with any linksGDT & Generated SPDT network with 364 K nodes GST & Generated SPST network with 364 K nodes IMV & Individual movement based vaccination strategy IMVE & Individual movement based vaccination strategy with exact information IMVT & Individual movement based vaccination strategy with temporal information LST & SPDT network with the same number of links that of DDT network LST & SPST network with the same number of links that of DST network MLE & Maximum likelihood estimator OSN & Online social network PFU & Plaque - forming unit RV & Random vaccination DV & Degree vaccination RSE & Root squared error SPST & Same place same time transmission SPDT & Same place different time transmission SIR & Susceptible - infected - recovered SDT network & Sparse SPDT network of links having direct and indirect components SST network & Sparse SPST network of links having indirect component onlySPDT graph & graph based on SPDT diffusion longtableList of symbolslongtablecc Symbol & Descriptions A & Set of active copies of nodes in SPDT graph b & active particle decay rates from an area of interaction & activity potential of node & active periods of a node C & Particle concentration in interaction area C , C , C & scenario 1 , 2 and 3 d & Activation degree - number of SPDT links created during an activation E & Intake dose or exposure of infectious particles & Average volume fraction of room air introduced by exhaled breath f & distribution function F & Disease spreading force in the network at the current day of simulation & Average disease spreading force in the network & Graph & Dynamic graph g & Particle generation rate by an infected individual h & Activation frequency I & Number of infected individuals in the system & Number of infected individuals at a simulation day & Number of infected individuals in the system at the current time that disease prevalence & Number of infected individuals up to a simulation day L & links set N & Total number of individuals , nodes , users p & Pulmonary rate of susceptible individual & Infection probability for an intake dose & Probability of creating a link during an activation & Probability of breaking a created link Q & air exchange rate from an area q & Transition probability for changing inactive to active state R & disease reproduction ability of an infected individual r & Particle removal rate from interaction area r & Median of particles removal rates S & Number of susceptible individual T & Simulation period or disease observation period & Activation period or period host user or node stays at the interacted location & Link creation delay or delay neighbour user or node arrives at the interacted location & Stay duration of user or node stays at the interacted location V & Air volume of interaction area , , & waiting periods of a node Y & Labelling sets in graph X & updates z & Number of time step Z & set of nodes in the SPDT graph & power law exponent & Infection rate at the current day of simulation in the network for an infected individual & Indirect transmission period & central tendency & Scaling parameter of activation degree distribution & neighbour proportion & average volume fraction of room air that is exhaled by an susceptible individual & links presence function & state probability & nodes presence function & switching probability form active to inactive states & Infectiousness of infection particles & Fraction of dose or exposure reaches to the target infection site & Duration that virus is generated or infectious period of infected individual & inter - event time for node in activity driven networks & lower limit of active degree distribution & activation potential in ADN networks & particle accumulation rate & Transition probability for changing active to inactive state longtable"
MSR,minimum storage regenerating,TR-26357,"construction Construction : main We are given two codes : itemize An MSR code with length , number of message symbols , number of parity symbols , number of helper nodes to be contacted for exact repair of any single node and sub - packetization is defined by the parity - check matrix equation eq : main_pc1 H = pmatrix H_1 , 1 & H_1 , 2 & & H_1 , n H_2 , 1 & H_2 , 2 & & H_2 , n & & & H_r , 1 & H_r , 2 & & H_r , n pmatrix B^rn ."
MRE,median recovery error,TR-26434,"fig : LBFGS_visual_realfigure0 ToDo itemize look at distribution of attributes in the latent space If we have time : Do a figure with auto - encoder ( if we manage to sample the latent space , for instance by fitting a Gaussian to the encoded images in the latent space ) Show a picture of a few examples of Eiffel tower or london bridge in LSUN that seem to be memorize but are just samples learn from template show ( at least on some images ) that VGG , perceptual loss , L1 or L1 on Laplacian pyramid gives the same results for recovery because GLO reported some mitigated results on this ( sometimes L2 is better , sometimes pyramid : in the end , they mixed the two metrics ) give statistics about the recovery precision with LBFGS : itemize for a given * generated * target image , the distribution of errors using a lot of random initializations ( to demonstrate that the problem is almost convex , or at least ' easy ' to optimize ) show convergence speed vs SGD or other optimization method ( because it is was is generaly used in the literature : this finding makes it possible to experiment more easily ) , for a given distorted target generated image , the average / median error vs the distorsion : : you did that on training image but it would be nice to show it first on generated images , to show robustness itemize discuss difference LBFGS vs SGD : LBFGS is much faster to converge , not prone to gradient step setting , but can suffer from instabilities add experiments on Auto Encoder : visual recovery results , histograms , MRE values , and maybe FID if we have time ( sampling from the latent space ) add a small paragraph to explain experimental settings , i.e. that we reproduce several architectures from the literature and trained again on splitting , ... tell somewhere the difference ( I think in the intro ) between over - fitting and verbatim memorization , for which we provide a solid definition : add more experiments on LSUN : show histograms with PG - GAN without GAP , show recovery failure results add experiments on MNIST , CIFAR ?"
RNN,recurrent neural network,TR-26490,"Our contributions in this paper are specifically : we evaluate several common NN architectures : feed - forward networks , RNN , GRU , and LSTM , in novel settings , and find that they fail to learn general identity rules ; we identify reasons that prevent the learning process from being successful in this context ; we propose the Relation Based Patterns , a new method to enable the learning of identity rules within the regular network structure ; we show in experiments that identity rules can be learnt with RBP structure on artificial data , including mixed rule - based and concrete patterns , and that they improve performance in real - world prediction tasks;The remainder of this paper is structured as follows ."
IR,information retrieval,TR-26505,"tabular c c Segmented query & Quoted versions & we are the people song lyrics & we are the people "" song lyrics "" & we are "" the people "" song lyrics we are the people song lyrics & we are "" the people "" "" song lyrics "" & "" we are "" the people song lyrics & "" we are "" the people "" song lyrics "" & "" we are "" "" the people "" song lyrics & "" we are "" "" the people "" "" song lyrics "" tabular tab : versionstableWe propose an evaluation framework for segmentation algorithms that generates all possible quoted versions of a segmented query ( see Table tab : versions ) and submits each quoted version to the IR engine ."
AFC,atomic function computation,TR-26649,"With each arc outgoing an AFC node , we associate the atomic function , which takesthe length- incoming vectors , , and produces the length- outgoing vector , i.e. : Similarly , with each arc outgoing a source node , the atomic function takes the length- incoming vectors , , as well as the generated symbols = , and produces the length- outgoing vector , i.e. : ( Note that we consider here the most general case in which a source node does not have to lie on the "" bottom - most "" level of the network , i.e. , it can also have some incoming edges . )"
CT,class table,TR-26852,"figure*[t ] gather * [ T - Var ] ( x ) = C CT x C[T - Field ] CT e C_e & field(f_i , C_e , CT ) = C_i CT e.f_iC_i [ T - Invk ] CT e C_e & CT e C & mtype(m , C_e , CT ) = DC C < : D CTe.m(e ) C [ T - New ] CTe C & fields(C , CT ) = CD & C < : D CTnew C(e ) C [ T - UCast ] CTe D D < : C CT(C)e C[T - DCast ] CTe D C < : D C D CT(C)e C [ T - SCast ] CTe D & C : D & D : C CT(C)e C [ T - Method ] x : C ; this : CCT e E_0 & E_0 < : C_0 extends(C , CT)= D if mtype(m , D , CT ) = DD_0 , then C = D ; C _ 0= D_0 CCT C m(C x ) return e OK [ T - Class ] K = C(D ' g , C ' f)super(g ) ; this.f = f & fields(D , CT)=DD ' CCTM OK CTclass C extends D C f ; K M OK [ T - Program ] CT = _ L'L ( addExt(L')addCtor(L')addFs(L ' ) addMs(L ' ) ) ( CTL ' OK)_L'L L OK gather * Typing rules of Featherweight Java ."
EO,eyes open,TR-26909,"R1IR = [ 90.8 ] & & & & & & EO & & & & R1IR = [ 85.6 ] 2cTask & 9lEC : resting state with eyes closed , EO : resting state with eyes open , MI : motor imagery , ERP : event related potential 2c2*Classifier & 9lANN : artificial neural networks , FDA : Fisher discriminant analysis , KNN : k - nearest neighbours , LDA : linear discriminant analysis & & 9lMAP : maximum a posteriori , CC : cross correlation , L1 ( Manhattan ) distance , L2 ( Euclidean ) distance , cosine distance tabular table*Previous protocols sec : previous_protocolTable table : comparison summarises the state - of - the - art of the existing EEG biometrics applications based on multiple data acquisition days ."
ER,experience replay,TR-27069,tab : cifar_er_agem_analysistabularlcccc1lBucket & 2cNumber of Examples ( fraction of corrects ) & 2cAverage Loss & ER - Random & A - GEM & ER - Random & A - GEM ( r)2 - 3 ( l)4 - 5Both and predict correctly & 3129 ( 0.67 ) & 3129 ( 0.70 ) & 0.25 & 0.42 predicts correctly and fails & 1520 ( 0.33 ) & 1520 & 0.41 & 1.74 fails and predicts correctly & 1360 & 1360 ( 0.30 ) & 2.14 & 0.62 tabular table*figure*[tb ] subfigure0.5 center figs / cifar_acc_train.pdf Train center subfigure subfigure0.5 center figs / cifar_acc_mem.pdf Memory center subfigure subfigure1.0 center figs / cifar_acc_test.pdf Test center subfigure CIFAR Analysis : Evolution of accuracy as a function of tasks on Train/ Memory and Test sets .
MVP,mitral valve prolapse,TR-27094,"B. Variation in ECG patterns for leads I and V1 for patients highlighted in red ( B ) and yellow ( C ) in A. In each case , ECGs show substantial temporal changes in complex morphology , particularly in those features important for a PAH diagnosis ( Figure ) * [ ] [ ] Characteristics of Studies Used to Train Left Ventricular Mass Estimation Model * [ ] [ ] Characteristics of Studies Used to Train Left Atrial Volume Estimation Model * [ ] [ ] Characteristics of Studies Used to Train Mitral Valve Annular e ' Estimation Model * [ ] [ ] Characteristics of Studies Used to Train PAH Classification Model * [ ] [ ] Characteristics of Studies Used to Train HCM Classification Model * [ ] [ ] Characteristics of Studies Used to Train Amyloid Classification Model * [ ] [ ] Characteristics of Studies Used to Train MVP Classification Model * [ ] [ ] Characteristics of Studies Used to Train Left Ventricular Hypertrophy Classification Model * [ ] [ ] Characteristics of Studies Used to Train Diastolic Dysfunction Classification Model * [ ] [ ] Characteristics of Studies Used to Train Left Atrial Enlargement Classification Model * [ ] [ ] Variable Importance for GBM Models for Cardiac Structure and Function * [ ] [ ] Variable Importance for GBM Models for Disease Detection"
MAP,maximum a posteriori,TR-27159,"Then , the likelihood of and based on our generative model is equation*P(R , A ) _ oO_sS_o P(v_o^s _ s , _ o ) _ o O_w W_o P(v_o^w _ w,_o)equation*where the probability of generating a claimed value by a source or a worker becomes align P(v_o^s _ s,_o ) & = _ v V_oP(v_o^s _ s , v_o^*=v ) _ o , veq : margin_s P(v_o^w _ w,_o ) & = _ v V_oP(v_o^w _ w , v_o^*=v ) _ o , v.eq : margin_w alignConsequently , the MAP point estimator is obtained by maximizing the log - posterior asequationeq : map = _ P(R , A)+P ( ) = _ F equationwhere the objective function is alignF & = _ oO_sS_o _ v V_oP(v_o^s _ s , v_o^*=v ) _ o , v & + _ oO_wW_o_v V_oP(v_o^w _ w , v_o^*=v ) _ o , v eq : objectiveL & + _ sSp(_s ) _ wWp(_w ) _ oOp(_o_o ) ."
ML,machine learning,TR-27161,"ML - Schema : Exposing the Semantics of Machine Learning with Schemas and OntologiesGustavo Correa Publio AKSW Group University of Leipzig , Germany Diego Esteves SDA Research University of Bonn , Germany Agnieszka awrynowicz Poznan University of TechnologyPoland Pance Panov Jozef Stefan InstituteLjubljana , Slovenia Larisa Soldatova Brunel University , UK Tommaso Soru AKSW Group University of Leipzig , Germany Joaquin Vanschoren Eindhoven University of TechnologyThe Netherlands Hamid Zafar SDA Research University of Bonn , Germany The ML - Schema , proposed by the W3C Machine Learning Schema Community Group , is a top - level ontology that provides a set of classes , properties , and restrictions for representing and interchanging information on machine learning algorithms , datasets , and experiments ."
SE,selective eraser,TR-27163,"A more sensible approach would be to assess a probability within the text preserved by the SEs that define the topic , which would be : multline P_topic(E(a , w_a ) -4ptE(b , w_b ) ) = = _ k_i ( P_topic([E(k_i , w_t)E(a , w_a ) ] -4pt[E(k_i , w_t)E(b , w_b)]))multlineRestricting ourselves to the set of keywords , the maximum value would always be for the topic - defining SE with the same central term as the antecedent SE ( ) , which simplifies the formula to : multlineeq : TopicalUConditional P_topic(E(a , w_a ) -4ptE(b , w_b ) ) = = E(a , w_a)E(b , w_b)E(a , w_t)D+E(a , w_a)E(b , w_b)E(a , w_t)D_avg(E(a , w_a)D+ E(a , w_a)D_avgmultlinefor any , where is the width of the SEs used to define the topic ."
FEC,forward error correction,TR-27209,"The information is collected by the receiver and sent to the transmitter ; Loss Rate Prediction - Using the feedback statistics , the properties of the error probability are estimated on the server side ; Video Characteristics - This module fetches information from the video sequences that are being transmitted to identify video characteristics such as the frame type and size , as well as the motion vectors ; Ant Colony Optimization - The ACO is responsible for making a joint analysis of all the information gathered by the other modules , establishing the most suitable amount of redundancy to each FEC block ; FEC Blocks - The FEC blocks are built and a specific amount of redundancy designed by the ACO is assigned to each one ."
PC,principal component,TR-27320,"@X rr rr @ & 2 cCNS & 2 cMDC ( lr)2 - 3(lr)4 - 5 & PC 0 & PC 1 & PC 0 & PC 1 Social circle size , & 0.41 & 0.18 & -0.36 & 0.04 Activity space size , & 0.42 & -0.23 & -0.40 & -0.05 New ties / week , & 0.33 & 0.27 & -0.24 & -0.35 New locations / week , & 0.39 & -0.11 & -0.37 & -0.22 Social circle entropy , & 0.29 & 0.33 & -0.36 & -0.23 Activity space entropy , & 0.38 & -0.10 & -0.35 & 0.13 Social circle stability , & -0.12 & -0.50 & -0.11 & 0.56 Activity space stability , & -0.06 & -0.50 & -0.03 & 0.62 Social circle rank turnover , & -0.17 & 0.26 & 0.28 & -0.19 Activity space rank turnover , & -0.35 & 0.37 & 0.42 & -0.18 T=30 , Principal Components ."
OCR,optical character recognition,TR-27350,tabular@cccccc@ & Layer & Filters & Size & Input & Output & conv & & & & & max & & & & & conv & & & & & max & & & & & conv & & & & & conv & & & & & conv & & & & & max & & & & & conv & & & & & conv & & & & & conv & & & & & conv & & & & & conv & & & & & conv & & & & & conv & & & & & detection & & & & tabular tab : cr_nettableWe then created an OCR descriptor by combining the textual content extracted from both license plates .
FEC,forward error correction,TR-27373,"The information is collected by the receiver and sent to the transmitter ; Loss Rate Prediction - Using the feedback statistics , the properties of the error probability are estimated on the server side ; Video Characteristics - This module fetches information from the video sequences that are being transmitted to identify video characteristics such as the frame type and size , as well as the motion vectors ; Ant Colony Optimization - The ACO is responsible for making a joint analysis of all the information gathered by the other modules , establishing the most suitable amount of redundancy to each FEC block ; FEC Blocks - The FEC blocks are built and a specific amount of redundancy designed by the ACO is assigned to each one ."
DL,depth loss,TR-27430,stbl : ablation_sdn 2.5pt tabularlcccccc 1c2*Depth Estimation & 3c & 3c 2 - 7 1c & Easy & Moderate & Hard & Easy & Moderate & Hard & 73.9 / - & 54.0 / - & 46.9 / - & 74.9 / 61.9 & 56.8 / 45.3 & 49.0 / 39.0 + DL & 75.8 / - & 56.2 / - & 51.9 / - & 75.7 / 60.5 & 57.1 / 44.8 & 49.2 / 38.4 & 79.7 / - & 61.1 / - & 54.5 / - & 77.0 / 63.2 & 63.7 / 46.8 & 56.0 / 39.8 tabulartable*table*[hbt ! ]
SW,sliding window,TR-27459,"The PoS tagging problem may be formulated as follows : given a text , each word is assigned ( using a lexicon and a morphological analyzer ) an ambiguity class to obtain the ambiguously tagged text ; the task of a PoS tagger is to obtain a tag sequence as correct as possible , that is , the one that maximizes the probability of that tag sequence given the word sequence : The core idea of SW PoS tagging is to use the ambiguity classes of neighboring words to approximate the dependencies locally : where , is the left context of length ( e.g. if , then , and is the left context of length ."
VM,virtual machine,TR-27828,tabular > gray!25 & 2cx86 - 64 & 2cPOWER & 2cARM & 2cGPU & 2cFPGA & 2cASIC gray!25 -2*Provider & BM & VM & BM & VM & BM & VM & BM & VM & BM & VM & BM & VM Amazon aws : iaas & * & & & & & & & & & & & Microsoft azure : iaas & & & & & & & & & & & & Google gcp : iaas & & & & & & & & & & & & IBM ibm : iaas & * & & * & & & & & & & & & Oracle oracle : iaas & * & * & & & & & & & & & & Scaleway scaleway : iaas & * & & & & * & & & & & & & tabular tab : cloudresources table
AV,acquaintance vaccination,TR-28115,"List of SymbolsList of abbreviationslongtablecc Acronym & Descriptions ADN & Activity driven network modelling AV & Acquaintance vaccination APV & Absolute percentage variation CIP & co - location interaction parameters CN & Common neighbours DST network & Dense SPST network DDT network & Dense SPDT network DDT1 & Vaccinating neighbours in DDT network with direct linksDDT2 & Vaccinating neighbours in DDT network with any linksGDT & Generated SPDT network with 364 K nodes GST & Generated SPST network with 364 K nodes IMV & Individual movement based vaccination strategy IMVE & Individual movement based vaccination strategy with exact information IMVT & Individual movement based vaccination strategy with temporal information LST & SPDT network with the same number of links that of DDT network LST & SPST network with the same number of links that of DST network MLE & Maximum likelihood estimator OSN & Online social network PFU & Plaque - forming unit RV & Random vaccination DV & Degree vaccination RSE & Root squared error SPST & Same place same time transmission SPDT & Same place different time transmission SIR & Susceptible - infected - recovered SDT network & Sparse SPDT network of links having direct and indirect components SST network & Sparse SPST network of links having indirect component onlySPDT graph & graph based on SPDT diffusion longtableList of symbolslongtablecc Symbol & Descriptions A & Set of active copies of nodes in SPDT graph b & active particle decay rates from an area of interaction & activity potential of node & active periods of a node C & Particle concentration in interaction area C , C , C & scenario 1 , 2 and 3 d & Activation degree - number of SPDT links created during an activation E & Intake dose or exposure of infectious particles & Average volume fraction of room air introduced by exhaled breath f & distribution function F & Disease spreading force in the network at the current day of simulation & Average disease spreading force in the network & Graph & Dynamic graph g & Particle generation rate by an infected individual h & Activation frequency I & Number of infected individuals in the system & Number of infected individuals at a simulation day & Number of infected individuals in the system at the current time that disease prevalence & Number of infected individuals up to a simulation day L & links set N & Total number of individuals , nodes , users p & Pulmonary rate of susceptible individual & Infection probability for an intake dose & Probability of creating a link during an activation & Probability of breaking a created link Q & air exchange rate from an area q & Transition probability for changing inactive to active state R & disease reproduction ability of an infected individual r & Particle removal rate from interaction area r & Median of particles removal rates S & Number of susceptible individual T & Simulation period or disease observation period & Activation period or period host user or node stays at the interacted location & Link creation delay or delay neighbour user or node arrives at the interacted location & Stay duration of user or node stays at the interacted location V & Air volume of interaction area , , & waiting periods of a node Y & Labelling sets in graph X & updates z & Number of time step Z & set of nodes in the SPDT graph & power law exponent & Infection rate at the current day of simulation in the network for an infected individual & Indirect transmission period & central tendency & Scaling parameter of activation degree distribution & neighbour proportion & average volume fraction of room air that is exhaled by an susceptible individual & links presence function & state probability & nodes presence function & switching probability form active to inactive states & Infectiousness of infection particles & Fraction of dose or exposure reaches to the target infection site & Duration that virus is generated or infectious period of infected individual & inter - event time for node in activity driven networks & lower limit of active degree distribution & activation potential in ADN networks & particle accumulation rate & Transition probability for changing active to inactive state longtable"
AI,artificial intelligence,TR-28122,"Recent analyses summarize the rapidly increasing number of principles and guidelines for ethical AI fjeld2019,jobin2019 , and tactical support for applying these ideas in practice is available in resources such as the Markkula Center Ethics in Technology Practice Framework and Toolkit,(https://www.scu.edu / ethics - in - technology - practice/ ) the Omidyar Ethical OS Toolkit,(https://ethicalos.org/ ) and the Princeton Dialogues on AI and Ethics Case Studies.(https://aiethics.princeton.edu / case - studies/)PrivacyAs discussed in the Findings section , many respondents were concerned about negative impacts of AI on privacy , reinforcing the value of continued emphasis on designing and developing AI with privacy in mind , concordant with discussion of privacy by design in the EU General Data Protection Regulation ( GDPR).(https://eugdpr.org/ ) The privacy discussion continues to evolve quickly , and best practices for AI technologies continue to be actively explored in the academic , legal , and policy communities ."
GMM,gaussian mixture model,TR-28145,"Given the LTI system eq : LTI driven by system and sensor noises whose probability density functions can be expressed as the Gaussian mixture models in eq : noiseGMM_eta and eq : noiseGMM_v , the probability density function of the residual at time can be written as a Gaussian mixture model of Gaussian modeswhere represents the mixture probabilities of the Gaussian modes , are the means , and are the covariances , [ ] [ ] [ ] [ ] [ ] where captures all the possible permutations of combining terms from the system and measurement noise GMM modes , following the rules:[leftmargin=1.3 cm ] [ Init : ] for [ Add : ] [ Wrap : ] if [ ] then and ."
RV,random vaccination,TR-28208,"List of SymbolsList of abbreviationslongtablecc Acronym & Descriptions ADN & Activity driven network modelling AV & Acquaintance vaccination APV & Absolute percentage variation CIP & co - location interaction parameters CN & Common neighbours DST network & Dense SPST network DDT network & Dense SPDT network DDT1 & Vaccinating neighbours in DDT network with direct linksDDT2 & Vaccinating neighbours in DDT network with any linksGDT & Generated SPDT network with 364 K nodes GST & Generated SPST network with 364 K nodes IMV & Individual movement based vaccination strategy IMVE & Individual movement based vaccination strategy with exact information IMVT & Individual movement based vaccination strategy with temporal information LST & SPDT network with the same number of links that of DDT network LST & SPST network with the same number of links that of DST network MLE & Maximum likelihood estimator OSN & Online social network PFU & Plaque - forming unit RV & Random vaccination DV & Degree vaccination RSE & Root squared error SPST & Same place same time transmission SPDT & Same place different time transmission SIR & Susceptible - infected - recovered SDT network & Sparse SPDT network of links having direct and indirect components SST network & Sparse SPST network of links having indirect component onlySPDT graph & graph based on SPDT diffusion longtableList of symbolslongtablecc Symbol & Descriptions A & Set of active copies of nodes in SPDT graph b & active particle decay rates from an area of interaction & activity potential of node & active periods of a node C & Particle concentration in interaction area C , C , C & scenario 1 , 2 and 3 d & Activation degree - number of SPDT links created during an activation E & Intake dose or exposure of infectious particles & Average volume fraction of room air introduced by exhaled breath f & distribution function F & Disease spreading force in the network at the current day of simulation & Average disease spreading force in the network & Graph & Dynamic graph g & Particle generation rate by an infected individual h & Activation frequency I & Number of infected individuals in the system & Number of infected individuals at a simulation day & Number of infected individuals in the system at the current time that disease prevalence & Number of infected individuals up to a simulation day L & links set N & Total number of individuals , nodes , users p & Pulmonary rate of susceptible individual & Infection probability for an intake dose & Probability of creating a link during an activation & Probability of breaking a created link Q & air exchange rate from an area q & Transition probability for changing inactive to active state R & disease reproduction ability of an infected individual r & Particle removal rate from interaction area r & Median of particles removal rates S & Number of susceptible individual T & Simulation period or disease observation period & Activation period or period host user or node stays at the interacted location & Link creation delay or delay neighbour user or node arrives at the interacted location & Stay duration of user or node stays at the interacted location V & Air volume of interaction area , , & waiting periods of a node Y & Labelling sets in graph X & updates z & Number of time step Z & set of nodes in the SPDT graph & power law exponent & Infection rate at the current day of simulation in the network for an infected individual & Indirect transmission period & central tendency & Scaling parameter of activation degree distribution & neighbour proportion & average volume fraction of room air that is exhaled by an susceptible individual & links presence function & state probability & nodes presence function & switching probability form active to inactive states & Infectiousness of infection particles & Fraction of dose or exposure reaches to the target infection site & Duration that virus is generated or infectious period of infected individual & inter - event time for node in activity driven networks & lower limit of active degree distribution & activation potential in ADN networks & particle accumulation rate & Transition probability for changing active to inactive state longtable"
FEC,forward error correction,TR-28325,"equationI_s = 1nF_i=0^nF-1 I_s(i ) eq : MINT : avgFrameIequationequationI_s = I_sI_s + P_s + B_seq : MINT : normFrameIequationtable[!hbt ] MINT - FEC Adopted Notation small center tabularcl Notation & Meaning & Frame size average & Normalised frame size average & Frame size of the frame & Number of frames in the video sequence & Euclidean distance of a motion vector & Euclidean distance of the motion vector & Macroblock height & Macroblock width & Macroblock area & Area of the macroblock & Number of macroblock in the frame & Temporal intensity tabular tab : MINT : notation center small tableOnce all the frame sizes are normalised , it is possible to perform an exploratory analysis to cluster all frames of all video sequences together according to their sizes ."
ATE,absolute trajectory error,TR-28371,We show the strongest results in boldtabularcY1cmY1cmY1cmY1cmY1cmY1cmY1cmY1cmY1 cm Sequence & 3cfr1-xyz & 3cfr2 - 360-hs & 3cfr3-walk - xyz 2*Method & ATE & RPE & RPE & ATE & RPE & RPE & ATE & RPE & RPE & ( m ) & ( m ) & ( ) & ( m ) & ( m ) & ( ) & ( m ) & ( m ) & ( ) LSD - SLAMengel2014lsd & 0.090 & - & - & - & - & - & 0.124 & - & - ORB - SLAMmur2015orb & 0.009 & 0.007 & 0.645 & - & - & - & 0.012 & 0.013 & 0.694 DeMoN(ftf)UZUMIDB17 & 0.183 & 0.037 & 3.612 & 0.669 & 0.032 & 3.233 & 0.279 & 0.040 & 3.174 DeMoN(1 - 10)UZUMIDB17 & 0.178 & 0.021 & 1.193 & 0.601 & 0.035 & 2.243 & 0.265 & 0.049 & 1.447 Ours(iterative ) & 0.071 & 0.024 & 1.237 & 0.461 & 0.020 & 0.736 & 0.240 & 0.026 & 0.811tabulartab : rgbd_posetablecomment
VM,virtual machine,TR-28391,tabular > gray!25 & 2cx86 - 64 & 2cPOWER & 2cARM & 2cGPU & 2cFPGA & 2cASIC gray!25 -2*Provider & BM & VM & BM & VM & BM & VM & BM & VM & BM & VM & BM & VM Amazon aws : iaas & * & & & & & & & & & & & Microsoft azure : iaas & & & & & & & & & & & & Google gcp : iaas & & & & & & & & & & & & IBM ibm : iaas & * & & * & & & & & & & & & Oracle oracle : iaas & * & * & & & & & & & & & & Scaleway scaleway : iaas & * & & & & * & & & & & & & tabular tab : cloudresources table
